,BORO,STORIES,FULLVAL,YEAR,LOT,BLDGCL,AVTOT2,Community_Board,Council_District,Lot_Area,Building_Area,Census_Tract,AVLAND2,EXLAND2,EXTOT2,EXCD2
51600,bor_2,str_1,val_3,yrs_1,lot_3,bcl_D4,transval_3,cmb_208,cds_11,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
49551,bor_1,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_112,cds_7,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
32453,bor_1,str_1,val_2,yrs_2,lot_2,bcl_C6,transval_2,cmb_111,cds_5,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_2,extot2_2
66011,bor_2,str_1,val_2,yrs_1,lot_1,bcl_M1,transval_2,cmb_204,cds_16,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_3,extot2_3
28625,bor_3,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_315,cds_48,lotarea_3,buildingarea_3,census_1,avland2_3,exland2_3,extot2_3,extot2_3
20795,bor_4,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_402,cds_26,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
49618,bor_2,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_205,cds_15,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_3,extot2_3
24859,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_108,cds_5,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
46244,bor_4,str_1,val_2,yrs_2,lot_1,bcl_C6,transval_2,cmb_408,cds_24,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_1,extot2_1,extot2_1
11239,bor_2,str_1,val_3,yrs_3,lot_2,bcl_D4,transval_3,cmb_208,cds_11,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_1,extot2_1,extot2_1
27576,bor_3,str_1,val_2,yrs_2,lot_3,bcl_R2,transval_2,cmb_302,cds_35,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
66323,bor_2,str_1,val_2,yrs_1,lot_1,bcl_C1,transval_2,cmb_206,cds_17,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_2,extot2_2
11796,bor_3,str_1,val_1,yrs_3,lot_2,bcl_R2,transval_1,cmb_303,cds_41,lotarea_1,buildingarea_1,census_1,avland2_1,exland2_1,extot2_1,extot2_1
42664,bor_2,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_211,cds_13,lotarea_2,buildingarea_2,census_3,avland2_2,exland2_2,extot2_2,extot2_2
64850,bor_1,str_3,val_3,yrs_1,lot_1,bcl_O3,transval_3,cmb_105,cds_4,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
9705,bor_1,str_1,val_3,yrs_3,lot_2,bcl_D4,transval_3,cmb_109,cds_7,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
42961,bor_2,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_211,cds_15,lotarea_3,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
27498,bor_3,str_1,val_2,yrs_2,lot_1,bcl_C6,transval_2,cmb_309,cds_35,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
36989,bor_4,str_1,val_2,yrs_2,lot_1,bcl_D4,transval_2,cmb_404,cds_25,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
61351,bor_3,str_1,val_2,yrs_1,lot_1,bcl_M3,transval_2,cmb_312,cds_44,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
13450,bor_4,str_2,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
